station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
406719,4,92,W,ML,37.635671,-122.101773,0.0001810283670657,1,aad4c2ed80c5ecbbe145bf4070591772,2508889,2504452,3113462,2508889_2504452
406720,4,92,W,OR,37.63549,-122.10227,0.0004888742010039,1,aad4c2ed80c5ecbbe145bf4070591772,2508889,2504452,3113462,2508889_2504452
406766,4,238,N,ML,37.690532,-122.091359,0.0010444092187042,1,d376d936d37da362d3ddfed4ca621313,2595261,2564127,3140452,2595261_2564127
406767,4,238,S,ML,37.690259,-122.089852,0.000384121252344,3,479635ba6fd5dd161a8dcc0ae8e68c03,2543502,2567429,3047670,2543502_2567429
406788,4,12,E,ML,38.222236,-122.250404,2.75616424942767e-05,2,63dd75bf2e7f4df023878d128fc018f3,4005878,4002117,6006760,4005878_4002117
406790,4,12,E,ML,38.216718,-122.224527,1.2036276404253e-05,1,aa2fc3953ce01d1db364d0eb5f69bbc2,4008759,4002957,6011517,4008759_4002957
406793,4,12,W,ML,38.222234,-122.250388,2.84625150188834e-05,2,63dd75bf2e7f4df023878d128fc018f3,4005878,4002117,6006760,4005878_4002117
406795,4,12,W,ML,38.216718,-122.224528,1.17051060049914e-05,1,aa2fc3953ce01d1db364d0eb5f69bbc2,4008759,4002957,6011517,4008759_4002957
406822,4,87,N,OR,37.297486,-121.874117,0.0010569673207855,1,090ea244d31d7dc6a40d68bcc9edc600,2009745,2141316,2009697,2009745_2141316
406871,4,101,N,ML,37.769968,-122.418524,0.0023826955371084,4,393d3f0abb902fcd0d2798d25cacf7a0,1008406,1010415,9136,1008406_1010415
406894,4,280,N,OR,37.316841,-121.952427,0.0037712886324018,1,842ef67ad30f027c316a3169dfa4c08c,2114873,2167541,2141190,2114873_2167541
406906,4,680,N,ML,37.758682,-121.964418,3.97982759113178e-05,1,ce3cd21a791a9de6764dc4612016e1bd,3042537,3048275,4102354,3042537_3048275
406907,4,680,N,OR,37.758682,-121.964418,0.0015518532984819,1,ce3cd21a791a9de6764dc4612016e1bd,3042537,3048275,4102354,3042537_3048275
406908,4,680,N,FR,37.758682,-121.964418,0.0024132126893576,1,ce3cd21a791a9de6764dc4612016e1bd,3042537,3048275,4102354,3042537_3048275
407007,4,101,S,ML,37.553623,-122.296488,2.73575568841435e-05,1,63e755039c8e426e9fc5eafd16952913,1525590,1535695,1029319,1525590_1535695
407017,4,580,E,ML,37.917462,-122.329259,0.0001306090577576,2,b5ba167699770595f62a4ba037fd6718,3067391,3017690,4090195,3067391_3017690
407148,4,680,N,ML,37.433665,-121.887868,6.0320128037621e-05,1,8e9eae8c44a534cc0c55d72602f06a58,2121504,2023107,2152405,2121504_2023107
407149,4,680,N,FR,37.433397,-121.887727,0.0029824150505442,1,8e9eae8c44a534cc0c55d72602f06a58,2121504,2023107,2152405,2121504_2023107
407150,4,680,N,ML,37.427274,-121.884436,0.0002421961440795,3,511741d3e210e6cb55ade915774a09e4,2077223,2121504,2086733,2077223_2121504
407151,4,680,N,ML,37.420741,-121.882093,5.15922600587909e-05,3,511741d3e210e6cb55ade915774a09e4,2077223,2121504,2086733,2077223_2121504
407152,4,680,N,ML,37.416073,-121.880751,3.09629879382719e-05,1,25c8cb41ebf2681b51ad7043d237529e,2038817,2077223,2040520,2038817_2077223
407153,4,680,N,ML,37.398059,-121.875211,6.75285892279749e-05,1,5a28db82147913a1a4105e0355691277,2084534,2101952,2096393,2084534_2101952
407154,4,680,N,FR,37.398059,-121.875211,0.0001939127110535,2,5a28db82147913a1a4105e0355691277,2084534,2101952,2096393,2084534_2101952
407155,4,680,N,ML,37.391513,-121.870376,3.28855718511816e-05,1,e2ad654242f276371c3432dbca402323,2162134,2084534,2241904,2162134_2084534
407156,4,680,N,FR,37.391513,-121.870376,8.72415703630266e-05,1,e2ad654242f276371c3432dbca402323,2162134,2084534,2241904,2162134_2084534
407157,4,680,N,ML,37.385475,-121.863839,1.86928221251221e-05,1,28463f71c4b723d71013c9244b2a8263,2041121,2079917,2043090,2041121_2079917
407158,4,680,N,FR,37.385475,-121.863839,0.0074829899833923,2,28463f71c4b723d71013c9244b2a8263,2041121,2079917,2043090,2041121_2079917
407159,4,680,N,FR,37.383052,-121.861237,0.0039275250033061,2,28463f71c4b723d71013c9244b2a8263,2041121,2079917,2043090,2041121_2079917
407160,4,680,N,FR,37.412547,-121.879697,0.0144858259899686,2,25c8cb41ebf2681b51ad7043d237529e,2038817,2077223,2040520,2038817_2077223
407162,4,680,N,ML,37.447443,-121.891175,2.69138468733034e-05,2,ada0a98282c176e91a8885a75072562c,2039529,2101814,2185456,2039529_2101814
407163,4,680,N,ML,37.438152,-121.889287,0.0001002584642539,1,8e9eae8c44a534cc0c55d72602f06a58,2121504,2023107,2152405,2121504_2023107
407165,4,680,N,ML,37.344023,-121.845368,3.25736400556282e-05,1,f961b06b61b636a3dbc8c0c098130c0c,2169463,2046241,2266322,2169463_2046241
407166,4,680,N,FR,37.341738,-121.848369,0.0003926132637633,1,bc89eb5344f8773b4f85b99a1c9da58e,2039851,2169463,2201284,2039851_2169463
407168,4,680,N,FR,37.350009,-121.838565,1.38201456265523e-05,1,17f00c14a5c70358420ed8c6571683d1,2025157,2002687,2025671,2025157_2002687
407169,4,680,N,FR,37.354464,-121.838073,0.0001379445560572,2,ded071f9b03fe40693f007db077943a5,2083444,2168951,2237776,2083444_2168951
407170,4,680,N,ML,37.355375,-121.838389,1.37176469404847e-05,1,ded071f9b03fe40693f007db077943a5,2083444,2168951,2237776,2083444_2168951
