line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
30_AC Transit_134_AM_d1_s365,San Francisco - El Sobrante,0,140.0,84,t,30.0,9
30_AC Transit_135_AM_d1_s369,San Francisco - El Sobrante,0,216.92307692307693,84,t,26.0,9
30_AC Transit_137_AM_d0_s374,Hayward BART- Hillsdale Mall- Oracle,0,105.0,84,t,40.0,9
30_AC Transit_137_AM_d1_s375,Hayward BART- Hillsdale Mall- Oracle,0,87.5,84,t,48.0,9
30_AC Transit_138_AM_d0_s377,San Francisco - Eastmont T.C.,0,235.0,84,t,24.0,9
30_AC Transit_138_AM_d1_s376,San Francisco - Eastmont T.C.,0,268.57142857142856,84,t,21.0,9
30_AC Transit_139_AM_d1_s378,East Oakland - San Francisco,0,216.92307692307693,84,t,26.0,9
30_AC Transit_13_AM_d0_s35,Fremont BART-Mission-Warm Springs-Industrial Area,0,47.25,30,s,80.0,9
30_AC Transit_13_AM_d1_s37,Fremont BART-Mission-Warm Springs-Industrial Area,0,63.0,30,s,60.0,9
30_AC Transit_142_AM_d1_s381,San Francisco - San Leandro,0,117.5,84,t,48.0,9
30_AC Transit_143_AM_d1_s383,San Francisco - Castro Valley,0,117.5,84,t,48.0,9
30_AC Transit_145_AM_d0_s386,San Francisco - Alameda - Fruitvale Bart,0,165.88235294117646,84,t,34.0,9
30_AC Transit_145_AM_d1_s387,San Francisco - Alameda - Fruitvale Bart,0,313.3333333333333,84,t,18.0,9
30_AC Transit_146_AM_d1_s388,San Francisco - Alameda - Bay Farm Is.,0,188.0,84,t,30.0,9
30_AC Transit_147_AM_d1_s391,San Francisco - Piedmont,0,105.0,84,t,40.0,9
30_AC Transit_148_AM_d1_s392,San Francisco - San Lorenzo- Hayward,0,70.0,84,t,60.0,9
30_AC Transit_149_AM_d1_s394,San Francisco - Hayward - Newark,0,141.0,84,t,40.0,9
30_AC Transit_14_AM_d0_s38,U.C. BART- Niles -Fremont BART-Ohlone Newark,0,63.0,30,s,60.0,9
30_AC Transit_14_AM_d1_s39,U.C. BART- Niles -Fremont BART-Ohlone Newark,0,63.0,30,s,60.0,9
30_AC Transit_150_AM_d1_s397,Frmt. BART- Stanford University,0,70.0,84,t,60.0,9
30_AC Transit_151_AM_d1_s398,San Francisco - Montclair,0,123.52941176470588,84,t,34.0,9
30_AC Transit_152_AM_d1_s400,San Francisco - Alameda,0,123.52941176470588,84,t,34.0,9
30_AC Transit_153_AM_d0_s402,San Francisco - Albany,0,35.0,84,t,120.0,9
30_AC Transit_15_AM_d0_s42,Frmt BART - Mission - Milpitas - Alder,0,184.6153846153846,30,s,26.0,9
30_AC Transit_15_AM_d1_s43,Frmt BART - Mission - Milpitas - Alder,0,160.0,30,s,30.0,9
30_AC Transit_16_AM_d0_s45,Hayward Bart -South Hayward Bart - Chabot,0,126.0,30,s,30.0,9
30_AC Transit_16_AM_d1_s44,Hayward Bart -South Hayward Bart - Chabot,0,126.0,30,s,30.0,9
30_AC Transit_17_AM_d0_s46,Fremont BART-U.C. BART-Mission-Ohlone Newark,0,63.0,30,s,60.0,9
